factor,tr_mean_ic,tr_abs_mean_ic,tr_mean_abs_ic,tr_days
model_8_best2,0.0834596657472732,0.0834596657472732,0.08507493776282943,338
model_6_best2,0.0834596657472732,0.0834596657472732,0.08507493776282943,338
model_5_best2,0.0834596657472732,0.0834596657472732,0.08507493776282943,338
model_4_best2,0.0834596657472732,0.0834596657472732,0.08507493776282943,338
model_9_best2,0.0834596657472732,0.0834596657472732,0.08507493776282943,338
model_32_best0,0.08343400599071103,0.08343400599071103,0.08505719453615247,338
model_33_best0,0.08343400599071103,0.08343400599071103,0.08505719453615247,338
model_29_best0,0.08343400599071103,0.08343400599071103,0.08505719453615247,338
model_30_best0,0.08343400599071103,0.08343400599071103,0.08505719453615247,338
model_11_best0,0.08294396358505791,0.08294396358505791,0.0839003724655093,338
model_14_best0,-0.0823944027545004,0.0823944027545004,0.08382879479826336,338
model_17_best0,0.08220363924245343,0.08220363924245343,0.0833321405570797,338
model_10_best0,0.08219686274637927,0.08219686274637927,0.08369494621993046,338
model_20_best0,0.08086604070283548,0.08086604070283548,0.08234690814049753,338
model_5_best0,0.08028583425052879,0.08028583425052879,0.08152877490864467,338
model_18_best0,0.07983355299894129,0.07983355299894129,0.08151615261771304,338
model_12_best0,0.07944678605288542,0.07944678605288542,0.08050621902965918,338
model_9_best0,0.0784389198666296,0.0784389198666296,0.07967305513136638,338
model_16_best0,0.0784389198666296,0.0784389198666296,0.07967305513136638,338
model_13_best0,-0.07836812239237033,0.07836812239237033,0.07944980787842287,338
model_4_best0,0.07667066352228034,0.07667066352228034,0.07916055449106588,338
model_6_best0,-0.0759379223202368,0.0759379223202368,0.07745778074828802,338
model_21_best0,-0.07549969763762639,0.07549969763762639,0.07739875562012802,338
model_0_best0,-0.07108906026511182,0.07108906026511182,0.07301026148630255,338
model_3_best0,-0.07108906026511182,0.07108906026511182,0.07301026148630255,338
model_2_best0,-0.07108906026511182,0.07108906026511182,0.07301026148630255,338
model_1_best0,-0.07108906026511182,0.07108906026511182,0.07301026148630255,338
model_7_best0,-0.07108906026511182,0.07108906026511182,0.07301026148630255,338
model_24_best0,-0.07108906026511182,0.07108906026511182,0.07301026148630255,338
model_26_best0,-0.07108906026511182,0.07108906026511182,0.07301026148630255,338
model_28_best0,-0.07108906026511182,0.07108906026511182,0.07301026148630255,338
model_27_best0,-0.07108906026511182,0.07108906026511182,0.07301026148630255,338
model_25_best0,-0.07108906026511182,0.07108906026511182,0.07301026148630255,338
model_31_best0,-0.07108906026511182,0.07108906026511182,0.07301026148630255,338
model_23_best0,-0.05538136297812762,0.05538136297812762,0.05910555227555153,338
model_22_best0,-0.05538136297812762,0.05538136297812762,0.05910555227555153,338
