factor,r2,mse,coef,abs_coef
model_18_best0,0.0031541421537333303,1.0460005422792956e-07,9.772488789829716e-06,9.772488789829716e-06
model_20_best0,0.0030659063824083344,1.0460931289755515e-07,1.883252745456648e-05,1.883252745456648e-05
model_21_best0,0.0029725958953252807,1.0461910406228949e-07,-6.621569120246267e-05,6.621569120246267e-05
model_16_best0,0.0029092286515307597,1.0462575325191597e-07,2.9209718671089603e-05,2.9209718671089603e-05
model_9_best0,0.0029092286515307597,1.0462575325191597e-07,2.9209718671089603e-05,2.9209718671089603e-05
model_11_best0,0.0023909783605604584,1.046801337843849e-07,7.1361387199702785e-06,7.1361387199702785e-06
model_7_best0,0.002359721396849146,1.0468341360951882e-07,-3.498687932210911e-05,3.498687932210911e-05
model_0_best0,0.002359721396849146,1.0468341360951882e-07,-3.498687932210911e-05,3.498687932210911e-05
model_24_best0,0.002359721396849146,1.0468341360951882e-07,-3.498687932210911e-05,3.498687932210911e-05
model_28_best0,0.002359721396849146,1.0468341360951882e-07,-3.498687932210911e-05,3.498687932210911e-05
model_27_best0,0.002359721396849146,1.0468341360951882e-07,-3.498687932210911e-05,3.498687932210911e-05
model_26_best0,0.002359721396849146,1.0468341360951882e-07,-3.498687932210911e-05,3.498687932210911e-05
model_25_best0,0.002359721396849146,1.0468341360951882e-07,-3.498687932210911e-05,3.498687932210911e-05
model_1_best0,0.002359721396849146,1.0468341360951882e-07,-3.498687932210911e-05,3.498687932210911e-05
model_2_best0,0.002359721396849146,1.0468341360951882e-07,-3.498687932210911e-05,3.498687932210911e-05
model_3_best0,0.002359721396849146,1.0468341360951882e-07,-3.498687932210911e-05,3.498687932210911e-05
model_31_best0,0.002359721396849146,1.0468341360951882e-07,-3.498687932210911e-05,3.498687932210911e-05
model_5_best0,0.002143609723851192,1.0470609042814324e-07,7.973538030873085e-06,7.973538030873085e-06
model_13_best0,0.0017449603949465375,1.047479211094799e-07,-1.3118202352424012e-05,1.3118202352424012e-05
model_30_best0,0.0017276126116131385,1.0474974143010734e-07,4.496946245241579e-06,4.496946245241579e-06
model_29_best0,0.0017276126116131385,1.0474974143010734e-07,4.496946245241579e-06,4.496946245241579e-06
model_10_best0,0.0016745720828693633,1.0475530702697391e-07,1.0450280778018279e-09,1.0450280778018279e-09
model_4_best0,0.0014136432084814743,1.0478268656032481e-07,8.71798602328807e-06,8.71798602328807e-06
model_12_best0,0.00136519556783532,1.0478777022075125e-07,3.093047234700147e-06,3.093047234700147e-06
model_14_best0,0.0013082792201305482,1.0479374251126088e-07,-7.212542952083612e-07,7.212542952083612e-07
model_4_best2,0.0010630009206288316,1.0481947981380056e-07,2.053420625201556e-06,2.053420625201556e-06
model_5_best2,0.0010630009206288316,1.0481947981380056e-07,2.053420625201556e-06,2.053420625201556e-06
model_6_best2,0.0010630009206288316,1.0481947981380056e-07,2.053420625201556e-06,2.053420625201556e-06
model_6_best0,0.0009331740266917965,1.0483310268241075e-07,-2.1439223406453286e-06,2.1439223406453286e-06
model_22_best0,0.00042529919185541054,1.0488639450766814e-07,-5.0731185159241275e-06,5.0731185159241275e-06
model_23_best0,0.00042529919185541054,1.0488639450766814e-07,-5.0731185159241275e-06,5.0731185159241275e-06
model_17_best0,0.0003836949030185943,1.0489076008819815e-07,1.3449864658204754e-07,1.3449864658204754e-07
